[2026-06-15 10:09:16] Username: tobiimusic |Exposure Score: 125 |Risk Level: 
[2026-06-15 10:10:25] Username: elonmusk |Exposure Score: 150 |Risk Level: 
[2026-06-15 11:21:29] Username: ksdjjsadjas |Exposure Score: 125 |Risk Level: 
[2026-06-18 10:26:31] Username: elonmusk |Exposure Score: 150 |Risk Level: 
[2026-06-18 10:36:33] Username: elonmusk |Exposure Score: 150 |Risk Level: 
[2026-06-18 10:39:34] Username: elonmusk |Exposure Score: 150 |Risk Level: 
[2026-06-18 10:46:02] Username: elonmusk |Exposure Score: 150 |Risk Level: High
[2026-06-18 11:55:12] Username: python -u "d:\Cybersecurity_Project_01\privacy_scanner.py" |Exposure Score: 150 |Risk Level: High
[2026-06-18 11:58:14] Username: lola |Exposure Score: 175 |Risk Level: High
[2026-06-18 12:46:02] Username: elonmusk |Exposure Score: 150 |Risk Level: High
[2026-06-21 11:25:32] Username: ollama |Exposure Score: 175 |Risk Level: High
[2026-06-24 13:04:34] Username: lola |Exposure Score: 175 |Risk Level: High
[2026-06-24 13:08:57] Username: elonmusk |Exposure Score: 150 |Risk Level: High
[2026-06-24 21:08:41] Username: lola |Exposure Score: 175 |Risk Level: High
[2026-06-24 22:29:50] Username: elonmusk |Exposure Score: 150 |Risk Level: High
[2026-06-24 22:32:26] Username: tobiimusic |Exposure Score: 125 |Risk Level: High
[2026-06-24 22:37:51] Username: elonmusk |Exposure Score: 150 |Risk Level: High
[2026-06-24 22:39:54] Username: lola |Exposure Score: 175 |Risk Level: High
[2026-06-24 22:41:18] Username: lola |Exposure Score: 175 |Risk Level: High
[2026-06-24 22:46:59] Username: lola |Exposure Score: 150 |Risk Level: High
[2026-06-24 23:07:14] Username: lola |Exposure Score: 175 |Risk Level: High
[2026-06-24 23:10:05] Username: brotha |Exposure Score: 175 |Risk Level: High
[2026-06-24 23:13:26] Username: lulli |Exposure Score: 175 |Risk Level: High
[2026-06-24 23:14:51] Username: laura |Exposure Score: 150 |Risk Level: High
[2026-06-24 23:15:42] Username: loda |Exposure Score: 175 |Risk Level: High
[2026-07-01 12:43:10] Username: lola | Score: 125 | Risk: High
[2026-07-01 16:05:58] Username: ram | Score: 100 | Risk: Moderate
[2026-07-10 21:17:57] Username: lola | Exposure Score: 175 | Risk Level: High
[2026-07-10 21:18:33] Username: rahul | Exposure Score: 175 | Risk Level: High
